,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,provinceName,provinceEnglishName,province_zipCode,cityName,cityEnglishName,city_zipCode,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime,Latitude,Longitude,GbProv_x,Prov_CH_x,ProvEN,Total,三级甲等医院,专科医院,传染病医院,医疗保健服务场所,卫生院,口腔医院,妇科医院,急救中心,整形美容,疾病预防,眼科医院,精神病医院,综合医院,耳鼻喉医院,肿瘤医院,胸科医院,脑科医院,诊所,骨科医院,Unnamed: 0_y,Population,Land_Area_mi2,Temperature_03_12
20,20,20,161,宁夏回族自治区,Ningxia,64,石嘴山,Shizuishan,640200.0,72,0,68,0,1,0,1,0,54:22.3,38.98968284,106.3906004,64,宁夏省,Ningxia,5828,81,2.0,12,2223,371,324,25,34,44,77,45,2.0,648,5.0,4.0,4.0,3,1904,20,331.0,"514,000",2011.0,267.39
21,21,21,162,辽宁省,Liaoning,21,锦州,Jinzhou,210700.0,121,0,93,1,12,0,11,0,10:54.4,41.1009315,121.1325963,21,辽宁省,Liaoning,29653,514,40.0,75,9896,2326,4188,168,145,333,413,367,30.0,2468,42.0,44.0,28.0,29,8232,315,42.0,"1,145,000",3904.0,268.44
22,22,22,163,辽宁省,Liaoning,21,丹东,Dandong,210600.0,121,0,93,1,7,0,6,0,10:54.4,40.00640871,124.3615473,21,辽宁省,Liaoning,29653,514,40.0,75,9896,2326,4188,168,145,333,413,367,30.0,2468,42.0,44.0,28.0,29,8232,315,41.0,"877,000",5803.0,264.46
23,23,23,164,辽宁省,Liaoning,21,盘锦,Panjin,211100.0,121,0,93,1,11,0,11,0,10:54.4,41.12587529,122.07749009999998,21,辽宁省,Liaoning,29653,514,40.0,75,9896,2326,4188,168,145,333,413,367,30.0,2468,42.0,44.0,28.0,29,8232,315,46.0,"1,053,000",1577.0,266.52
24,24,24,165,辽宁省,Liaoning,21,阜新,Fuxin,210900.0,121,0,93,1,8,0,8,0,10:54.4,42.0280219,121.676408,21,辽宁省,Liaoning,29653,514,40.0,75,9896,2326,4188,168,145,333,413,367,30.0,2468,42.0,44.0,28.0,29,8232,315,44.0,"839,000",4033.0,264.9
25,25,25,166,辽宁省,Liaoning,21,辽阳,Liaoyang,211000.0,121,0,93,1,3,0,3,0,10:54.4,41.27416129,123.2433664,21,辽宁省,Liaoning,29653,514,40.0,75,9896,2326,4188,168,145,333,413,367,30.0,2468,42.0,44.0,28.0,29,8232,315,45.0,"856,000",1827.0,265.03
26,26,26,167,辽宁省,Liaoning,21,营口,Yingkou,210800.0,121,0,93,1,1,0,1,0,10:54.4,40.67313684,122.2415747,21,辽宁省,Liaoning,29653,514,40.0,75,9896,2326,4188,168,145,333,413,367,30.0,2468,42.0,44.0,28.0,29,8232,315,43.0,"1,214,000",1919.0,265.04
27,27,27,168,辽宁省,Liaoning,21,铁岭,Tieling,211200.0,121,0,93,1,7,0,5,0,10:54.4,42.229948,123.7323652,21,辽宁省,Liaoning,29653,514,40.0,75,9896,2326,4188,168,145,333,413,367,30.0,2468,42.0,44.0,28.0,29,8232,315,47.0,"412,000",5006.0,265.03
28,28,28,169,辽宁省,Liaoning,21,鞍山,Anshan,210300.0,121,0,93,1,4,0,1,0,10:54.4,41.1150536,123.0013725,21,辽宁省,Liaoning,29653,514,40.0,75,9896,2326,4188,168,145,333,413,367,30.0,2468,42.0,44.0,28.0,29,8232,315,38.0,"1,629,000",3572.0,263.48
29,29,29,170,辽宁省,Liaoning,21,本溪,Benxi,210500.0,121,0,93,1,3,0,3,0,10:54.4,41.49291646,123.6925071,21,辽宁省,Liaoning,29653,514,40.0,75,9896,2326,4188,168,145,333,413,367,30.0,2468,42.0,44.0,28.0,29,8232,315,40.0,"1,157,000",3257.0,265.03
